Message{text='Här kommer massa text', imageIcon=null, sender=entity.User@8587ad4f, recievers=[entity.User@3db5f7bf], timeStampClient=Thu Jun 22 11:17:18 CEST 2023, timeStampServer=Thu Jun 22 11:17:18 CEST 2023}
Message{text='Bladiblour', imageIcon=null, sender=entity.User@8587ad4f, recievers=[entity.User@3db5f7bf], timeStampClient=Thu Jun 22 11:17:21 CEST 2023, timeStampServer=Thu Jun 22 11:17:21 CEST 2023}
Message{text='Bla', imageIcon=null, sender=entity.User@8ccd79d4, recievers=[entity.User@3db5f7bf], timeStampClient=Thu Jun 22 11:22:09 CEST 2023, timeStampServer=Thu Jun 22 11:22:09 CEST 2023}
Message{text='asd', imageIcon=null, sender=entity.User@8ccd79d4, recievers=[entity.User@3db5f7bf], timeStampClient=Thu Jun 22 11:22:09 CEST 2023, timeStampServer=Thu Jun 22 11:22:09 CEST 2023}
Message{text='sdf', imageIcon=null, sender=entity.User@8ccd79d4, recievers=[entity.User@3db5f7bf], timeStampClient=Thu Jun 22 11:22:09 CEST 2023, timeStampServer=Thu Jun 22 11:22:09 CEST 2023}
Message{text='dfg', imageIcon=null, sender=entity.User@8ccd79d4, recievers=[entity.User@3db5f7bf], timeStampClient=Thu Jun 22 11:22:09 CEST 2023, timeStampServer=Thu Jun 22 11:22:09 CEST 2023}
Message{text='fgj', imageIcon=null, sender=entity.User@8ccd79d4, recievers=[entity.User@3db5f7bf], timeStampClient=Thu Jun 22 11:22:10 CEST 2023, timeStampServer=Thu Jun 22 11:22:10 CEST 2023}
Message{text='ghk', imageIcon=null, sender=entity.User@8ccd79d4, recievers=[entity.User@3db5f7bf], timeStampClient=Thu Jun 22 11:22:10 CEST 2023, timeStampServer=Thu Jun 22 11:22:10 CEST 2023}
Message{text='fgh', imageIcon=null, sender=entity.User@8ccd79d4, recievers=[entity.User@3db5f7bf], timeStampClient=Thu Jun 22 11:22:10 CEST 2023, timeStampServer=Thu Jun 22 11:22:10 CEST 2023}
Message{text='dfg', imageIcon=null, sender=entity.User@8ccd79d4, recievers=[entity.User@3db5f7bf], timeStampClient=Thu Jun 22 11:22:10 CEST 2023, timeStampServer=Thu Jun 22 11:22:10 CEST 2023}
Message{text='sd', imageIcon=null, sender=entity.User@8ccd79d4, recievers=[entity.User@3db5f7bf], timeStampClient=Thu Jun 22 11:22:10 CEST 2023, timeStampServer=Thu Jun 22 11:22:10 CEST 2023}
Message{text='fs', imageIcon=null, sender=entity.User@8ccd79d4, recievers=[entity.User@3db5f7bf], timeStampClient=Thu Jun 22 11:22:11 CEST 2023, timeStampServer=Thu Jun 22 11:22:11 CEST 2023}
Message{text='df', imageIcon=null, sender=entity.User@8ccd79d4, recievers=[entity.User@3db5f7bf], timeStampClient=Thu Jun 22 11:22:11 CEST 2023, timeStampServer=Thu Jun 22 11:22:11 CEST 2023}
